,source_collider_name,target_collider_name,ColliderBoundsCenter.x,ColliderBoundsCenter.y,ColliderBoundsCenter.z,transformed_collidercenter_x,transformed_collidercenter_y
97,Building_198,Building_198,-282.54290771484375,7.095789909362793,18.127166748046875,881.1763470515735,2123.3878438541615
98,Building_199,Building_199,-318.12432861328125,7.002060890197754,-16.966527938842773,734.201255302471,1978.527892240953
99,Building_200,Building_200,-337.22564697265625,5.176938056945801,22.85503387451172,654.5547689539537,2143.253416537237
100,Building_201,Building_201,-347.2813720703125,7.0292277336120605,0.2467622756958008,613.1594357172281,2049.8272325905427
101,Building_202,Building_202,-347.9932556152344,10.286787033081056,31.672134399414066,609.8068831849173,2179.7822131904413
102,Building_203,Building_203,-361.4877624511719,10.416288375854492,39.995094299316406,553.746352576812,2214.2936979501583
103,Building_204,Building_204,-373.132080078125,6.267110824584961,18.31917762756348,505.74403766538745,2124.704591826508
104,Building_205,Building_205,-405.89495849609375,7.577810128529866,45.42414855957031,369.45968098954535,2237.0461137371503
105,Building_206,Building_206,-475.1400146484375,4.922994613647461,34.52000045776367,82.13711407745869,2192.3590414448736
106,Building_207,Building_207,-401.7730407714844,7.073107719421388,-17.003284454345707,387.4354939806079,1978.7689887933298
107,Building_208,Building_208,-346.5611877441406,7.759173393249513,-41.4321174621582,616.6759191214275,1877.5397203039856
108,Building_209,Building_209,-317.0360107421875,9.511362075805664,-61.15814971923828,739.2446588306962,1795.9276942557212
109,Building_210,Building_210,-304.0008239746094,11.01127815246582,-71.55989074707031,793.3529217787682,1752.9216413456393
110,Building_211,Building_211,-306.7368469238281,6.9829769134521475,-103.82701873779295,782.4059930443594,1619.6839512208162
111,Building_212,Building_212,-271.57000732421875,8.061673164367676,-19.920001983642575,927.0399813334257,1966.1073291406274
112,Building_213,Building_213,-291.20001220703125,4.654793739318848,-44.959999084472656,846.0479948084721,1862.7476126849133
113,Building_214,Building_214,-246.6147766113281,16.987327575683597,-59.87648391723633,1030.7584235345564,1800.9837614502753
114,Building_215,Building_215,-266.1400146484375,10.149513244628906,-135.69999694824222,950.7906328259068,1488.066265157483
115,Building_216,Building_216,-271.8099975585937,10.14874267578125,-152.0399932861328,927.5132242060014,1420.6541645327397
116,Building_217,Building_217,-273.3538818359375,4.257871627807616,-166.71609497070312,921.2891502285729,1360.1112064383306
117,Building_218,Building_218,-274.2861328125,6.101561069488525,-172.2808837890625,917.4944848778922,1337.1569924527103
118,Building_219,Building_219,-268.75,2.780423164367676,-231.4700164794922,941.0482142292639,1093.0994929269527
119,Building_220,Building_220,-212.0521545410156,7.797959327697754,-167.68435668945312,1174.7856994146014,1356.110709411937
120,Building_221,Building_221,-185.5030670166016,2.44754695892334,-172.4401397705078,1284.5403120063665,1336.5036219100166
121,Building_222,Building_222,-182.35069274902344,4.548020362854004,-175.8959197998047,1297.5955213635152,1322.2592618219
122,Building_223,Building_223,-146.19305419921875,5.015111923217773,-206.26806640625,1447.1837875824299,1197.1281735499547
123,Building_224,Building_224,-140.301513671875,4.815113067626953,-211.0452423095703,1471.5442844184206,1177.456490472076
124,Building_225,Building_225,-90.99766540527344,1.4096784591674805,-266.19821166992193,1675.3849354178508,950.4859704574005
125,Building_226,Building_226,-22.029882431030273,0.02035236358642578,-269.2162475585937,1959.6591851179735,938.2711483693624
126,Building_227,Building_227,-10.74576187133789,-0.7634491920471191,-260.72171020507807,2006.09363415839,973.2410245527112
127,Building_228,Building_228,49.59001541137695,0.14548206329345706,-247.80999755859372,2254.4498784478074,1026.490279528462
128,Building_229,Building_229,-25.897090911865234,0.5334944725036621,-230.45997619628903,1943.5056557201265,1097.6998177225528
129,Building_230,Building_230,-73.4000015258789,0.10385632514953612,-181.0,1747.366086705153,1301.2541501487626
130,Building_231,Building_231,-93.6878890991211,-0.1626826524734497,-200.5218811035156,1663.8176746987208,1220.8467585858539
131,Building_232,Building_232,-103.883544921875,1.7444229125976562,-155.8984832763672,1621.4229269543528,1404.6582054673759
132,Building_233,Building_233,-114.06099700927734,4.7884483337402335,-170.7031707763672,1579.5321875685827,1343.6627203548687
133,Building_234,Building_234,-131.32925415039062,5.869434356689452,-124.8065185546875,1507.8856069373053,1532.8272026782652
134,Building_235,Building_235,-150.0033721923828,9.410090446472168,-118.75054931640624,1430.7145980740165,1557.8235426106257
135,Building_236,Building_236,-169.66864013671875,3.360518455505371,-117.83259582519531,1349.4678184879747,1561.6404267740018
136,Building_57,Building_57,397.9471740722656,4.1614365577697745,104.31138610839844,3685.6712743480693,2474.091484926447
137,Building_58,Building_58,391.365478515625,6.837270736694336,108.90286254882812,3658.6859958855994,2493.04784051051
138,Building_59,Building_59,385.2950439453125,6.547807693481445,114.11629486083984,3633.796509873137,2514.563247713509
139,Building_60,Building_60,380.6537170410156,3.719857931137085,118.42743682861328,3614.7651007402824,2532.3540048195478
140,Building_61,Building_61,371.5862731933594,4.2583956718444815,123.65705871582031,3577.5694614367653,2553.9683547910636
141,Building_62,Building_62,364.9214782714844,3.7930407524108887,131.42289733886722,3550.23584127932,2586.0103947923235
142,Building_63,Building_63,358.5458068847656,2.594700813293457,134.97830200195312,3524.073492954277,2600.71274106099
143,Building_64,Building_64,375.1610107421875,3.7990119457244873,73.83766174316406,3592.095296405087,2348.8385209038615
144,Building_65,Building_65,359.21160888671875,1.1946223974227903,75.5472640991211,3526.65413243097,2355.9936597264423
145,Building_66,Building_66,351.2803955078125,3.758931636810303,63.05953979492188,3494.0738833390956,2304.649727542631
146,Building_67,Building_67,332.99884033203125,3.0261034965515137,34.34879684448242,3418.977899412461,2186.607100356441
147,Building_68,Building_68,344.644287109375,-0.039331138134002686,112.04071807861328,3466.9480139991488,2506.3654446500295
148,Building_69,Building_69,315.65814208984375,4.773612976074219,72.82960510253906,3347.8560284997966,2345.1279738128633
149,Building_70,Building_70,304.4653015136719,5.161357879638672,65.26611328125,3301.879366647747,2314.06636329483
150,Building_71,Building_71,310.7568664550781,5.20828914642334,130.30659484863278,3327.816300743897,2581.9062534792283
151,Building_72,Building_72,302.9535217285156,4.856257915496826,135.18194580078122,3295.7653938705703,2602.0661851118566
152,Building_73,Building_73,284.596923828125,2.477804183959961,140.28572082519528,3220.3417153083487,2623.2701975866603
153,Building_74,Building_74,266.5995483398437,4.622803688049316,142.5792999267578,3146.368771109677,2632.893787898327
154,Building_75,Building_75,259.396484375,5.786465644836426,112.97472381591795,3116.743929922465,2510.9441253642617
155,Building_76,Building_76,273.12664794921875,4.832713127136231,59.60565948486328,3173.1403026917596,2290.9784925661243
156,Building_77,Building_77,261.18533325195307,4.77360725402832,64.31773376464844,3124.0749755888473,2310.469371689309
157,Building_78,Building_78,249.3648223876953,5.161352634429932,70.85691833496094,3075.4955235266625,2337.490351953256
158,Building_79,Building_79,240.76683044433597,3.588261127471924,79.6246566772461,3040.1525171080284,2373.675363876217
159,Building_80,Building_80,196.1184844970703,1.2036809921264648,89.19023132324219,2856.5303902314654,2413.4399319603995
160,Building_81,Building_81,303.0943603515625,5.55424690246582,86.8169174194336,3296.278258988035,2402.823072370904
161,Building_82,Building_82,285.2325134277344,5.220550537109375,88.42059326171875,3222.903229273813,2409.567986131029
162,Building_83,Building_83,289.29876708984375,6.042788028717041,10.889179229736328,3239.5269156607756,2090.3151090282017
163,Building_84,Building_84,234.78271484375,4.476346015930176,40.60113525390625,3015.5546626234486,2212.966677318368
164,Building_85,Building_85,211.22105407714844,6.507894515991211,54.94933319091797,2918.6764766804367,2272.226318470908
165,Building_86,Building_86,188.41261291503903,5.888459205627441,44.681636810302734,2824.876312598609,2230.075566539049
166,Building_87,Building_87,205.1768493652344,5.356637001037598,23.97187805175781,2893.8428675340374,2144.658516842002
167,Building_88,Building_88,224.9565887451172,4.701640129089356,11.138431549072266,2975.170050904893,2091.695308288755
168,Building_89,Building_89,252.61398315429688,1.4472637176513672,225.24366760253903,3088.8924754684917,2973.9532834681154
169,Building_90,Building_90,220.6957855224609,1.4993629455566406,219.92697143554688,2957.568250764861,2952.3952070550645
170,Building_91,Building_91,165.6999969482422,4.251777172088623,214.8999938964844,2731.1594177065995,2932.2941031848186
171,Building_92,Building_92,19.67999267578125,3.800617218017578,196.2700042724609,2129.2115366773946,2857.0211618877133
172,Building_93,Building_93,-23.75,8.095475196838379,241.9200134277344,1949.6572900090086,3046.231113184116
173,Building_94,Building_94,127.00870513916016,6.053620338439941,160.2508087158203,2571.8957853401193,2707.1439411692736
174,Building_95,Building_95,164.4762420654297,4.502962112426758,125.31675720214844,2726.2654970857275,2562.6602018573817
175,Building_96,Building_96,169.38710021972656,3.0040302276611333,112.85040283203124,2746.5002106190173,2511.205474058839
176,Building_97,Building_97,104.72164154052734,6.155435562133789,62.48524856567383,2480.3504501691564,2304.0280931389552
